mapped_id,word,sentence_id,location_in_sentence,bundle_id
424,a,334,13,4
425,a,336,20,5
426,a,342,9,3
427,a,342,17,6
428,a,344,4,1
429,a,345,10,5
430,a,346,3,1
431,a,346,9,4
432,a,348,19,5
433,a,353,6,1
434,a,355,4,2
435,a,355,14,3
436,a,356,6,3
437,a,356,20,9
438,a,357,19,6
439,a,357,26,9
440,a,361,20,6
441,a,361,24,8
442,a,362,9,4
443,a,362,13,5
444,a,362,39,12
445,a,363,2,1
446,a,364,4,1
447,a,372,5,2
448,a,372,9,4
449,a,372,15,7
450,a,374,3,1
451,a,375,12,1
452,a,376,14,3
453,a,378,0,1
454,a,386,2,1
455,a,386,11,4
456,a,386,20,6
457,a,387,8,1
458,a,395,6,2
459,a,396,6,3
460,a,396,12,5
461,a,396,26,8
462,a,397,16,3
463,a,402,5,2
464,a,404,1,2
465,a,404,8,4
466,a,410,4,1
467,a,412,11,4
468,a,415,1,1
469,a,422,2,1
470,a,422,5,2
471,a,423,4,1
472,a,424,2,1
473,a,427,26,6
474,a,435,10,5
475,a,436,1,1
476,a,440,11,4
477,a,440,15,5
478,a,440,19,6
479,a,442,7,4
480,a,443,9,4
481,a,443,13,6
482,a,444,3,3
483,a,444,11,6
484,a,444,17,9
485,a,445,12,5
486,a,448,0,1
487,a,448,6,3
488,a,448,21,7
489,a,449,4,1
490,a,449,9,4
491,a,450,21,3
492,a,453,18,3
493,a,456,4,2
494,a,456,12,5
495,a,456,20,7
496,a,457,11,3
497,a,457,28,9
498,a,459,5,3
499,a,460,19,2
500,a,460,23,4
501,a,462,2,1
502,a,463,7,2
503,a,464,19,4
504,a,467,11,2
505,a,469,23,4
506,a,470,12,6
507,a,472,30,5
508,a,473,8,2
509,a,475,2,1
510,a,485,2,1
511,a,491,2,1
512,a,491,16,7
513,a,495,11,2
514,a,507,18,7
515,a,518,7,2
516,a,518,10,3
517,a,519,1,2
518,a,521,5,1
519,a,521,8,2
520,a,528,4,2
521,a,530,9,1
522,a,531,8,2
523,a,532,3,2
524,a,533,3,1
525,a,534,3,1
526,a,535,6,2
527,a,541,21,3
528,a,547,1,1
529,a,548,4,1
530,a,548,9,2
531,a,549,14,3
532,a,561,15,5
533,a,563,3,1
534,a,564,3,1
535,a,574,8,1
536,a,576,7,2
537,a,582,6,1
538,a,591,15,4
539,a,598,3,2
540,a,599,28,5
541,a,600,9,2
542,a,600,21,5
543,a,606,4,2
544,a,607,0,1
545,a,607,3,2
546,a,607,6,3
547,a,607,22,8
548,a,607,25,9
549,a,607,28,11
550,a,608,5,2
551,a,611,4,2
552,a,611,14,5
553,a,611,17,7
554,a,615,20,3
555,a,621,10,1
556,a,622,18,4
557,a,624,8,3
558,a,625,48,10
559,a,636,20,5
560,a,645,31,8
561,a,647,10,3
562,a,647,28,7
563,a,648,2,1
564,a,648,20,8
565,a,648,29,10
566,a,649,3,2
567,a,649,5,3
568,a,649,23,8
569,a,650,24,5
570,a,651,4,3
571,a,651,7,5
572,a,652,12,3
573,a,656,27,8
574,a,657,12,4
575,a,658,33,7
576,a,658,40,10
577,a,659,10,4
578,a,660,0,1
579,a,660,15,4
580,a,666,16,5
581,a,668,0,1
582,a,668,3,3
583,a,668,17,6
584,a,669,16,3
585,a,669,31,7
586,a,670,11,4
587,a,670,35,7
588,a,671,17,4
589,a,673,20,7
590,a,674,58,15
591,a,675,30,10
592,a,680,14,1
593,a,680,23,4
594,a,685,19,4
595,a,687,38,7
596,a,689,0,1
597,a,689,15,6
598,a,695,10,1
599,a,696,10,2
600,a,696,21,4
601,a,696,25,5
602,a,696,30,8
603,a,702,5,1
604,a,702,9,2
605,a,707,7,1
606,a,708,1,1
607,a,711,16,1
608,a,713,4,2
609,a,717,4,1
610,a,722,25,4
611,a,723,8,1
612,a,723,37,9
613,a,724,7,3
614,a,725,7,1
615,a,728,4,3
616,a,731,1,2
617,a,731,12,5
618,a,732,0,1
619,a,732,18,6
620,a,738,1,1
621,a,743,4,1
622,a,748,1,1
623,a,750,2,2
624,a,751,1,1
625,a,758,4,2
626,a,762,5,2
627,a,762,19,5
628,a,769,32,8
629,a,769,46,13
630,a,771,0,1
631,a,771,8,3
632,a,772,0,1
633,a,772,17,7
634,a,773,11,4
635,a,773,17,6
636,a,775,4,2
637,a,775,7,4
638,a,775,14,6
639,a,778,1,2
640,a,784,4,2
641,a,785,15,4
642,a,789,1,1
643,a,795,2,2
644,a,800,4,1
645,a,803,8,4
646,a,806,16,4
647,a,807,9,2
648,a,809,3,1
649,a,810,4,2
650,a,816,3,1
651,a,818,5,1
652,a,819,22,5
653,a,821,1,1
654,a,824,15,4
655,a,827,24,4
656,a,832,6,3
657,a,837,9,2
658,a,845,18,7
659,a,855,11,1
660,a,857,11,4
661,a,860,14,5
662,a,860,21,7
663,a,861,3,1
664,a,862,3,1
665,a,862,23,7
666,a,864,0,1
667,a,864,21,5
668,a,864,27,7
669,a,865,2,1
670,a,865,5,3
671,a,865,13,4
672,a,869,10,5
673,a,869,24,10
674,a,873,5,1
675,a,879,17,6
676,a,882,14,5
677,a,893,11,1
678,a,901,4,2
679,a,907,8,2
680,a,911,5,3
681,a,911,9,4
682,a,912,16,5
683,a,913,4,3
684,a,913,20,9
685,a,914,10,2
686,a,915,0,1
687,a,915,3,3
688,a,915,35,19
689,a,924,4,1
690,a,927,11,2
691,a,927,13,3
692,a,930,14,5
693,a,931,4,2
694,a,931,18,5
695,a,932,6,2
696,a,932,22,8
697,a,933,23,12
698,a,935,7,1
699,a,935,19,6
700,a,939,1,1
701,a,940,2,1
702,a,940,13,3
703,a,940,21,4
704,a,940,26,6
705,a,941,6,1
706,a,945,5,2
707,a,947,0,1
708,a,947,3,3
709,a,948,0,1
710,a,948,31,13
711,a,951,9,4
712,a,955,3,1
713,a,955,7,3
714,a,956,32,9
715,a,957,3,1
716,a,957,18,4
717,a,960,19,5
718,a,961,28,7
719,a,962,7,3
720,a,962,30,8
721,a,963,25,8
722,a,966,1,2
723,a,967,13,4
724,a,969,8,2
725,a,971,4,2
726,a,971,13,4
727,a,972,8,2
728,a,972,23,5
729,a,973,7,4
730,a,974,0,1
731,a,976,20,4
732,a,976,27,6
733,a,978,7,3
734,a,980,2,2
735,a,980,5,3
736,a,981,10,2
737,a,981,15,3
738,a,982,14,2
739,a,983,1,1
740,a,995,19,2
741,a,997,5,1
742,a,997,29,4
743,a,998,3,1
744,a,1001,1,1
745,a,1002,4,1
746,a,1003,2,1
747,a,1003,8,2
748,a,1004,10,4
749,a,1006,14,2
750,a,1007,12,4
751,a,1008,9,3
752,a,1008,17,5
753,a,1012,9,2
754,a,1012,12,4
755,a,1021,7,2
756,a,1029,0,1
757,a,1035,8,4
758,a,1042,12,4
759,a,1042,20,6
760,a,1044,23,5
761,a,1050,8,1
762,a,1050,19,4
763,a,1053,7,2
764,a,1056,2,1
765,a,1056,30,6
766,a,1056,36,8
767,a,1057,8,3
768,a,1058,7,2
769,a,1059,7,1
770,a,1063,6,2
771,a,1065,6,2
772,a,1071,2,1
773,a,1074,17,4
774,a,1079,9,2
775,a,1080,14,4
776,a,1081,1,2
777,a,1081,12,3
778,a,1082,5,1
779,a,1082,24,5
780,a,1084,16,3
781,a,1084,27,5
782,a,1086,2,1
783,a,1087,2,1
784,a,1088,16,3
785,a,1089,8,1
786,a,1090,5,2
787,a,1090,13,3
788,a,1093,15,3
789,a,1094,6,2
790,a,1094,12,5
791,a,1101,0,1
792,a,1103,3,1
793,a,1103,7,3
794,a,1103,20,7
795,a,1104,4,1
796,a,1104,9,2
797,a,1106,18,6
798,a,1107,4,2
799,a,1119,12,3
800,a,1122,7,1
801,a,1122,18,3
802,a,1123,15,5
803,a,1126,29,8
804,a,1126,33,9
805,a,1129,1,1
806,a,1134,11,4
807,a,1134,18,5
808,a,1135,14,7
809,a,1135,38,14
810,a,1137,0,1
811,a,1137,6,3
812,a,1139,5,1
813,a,1139,11,3
814,a,1139,22,5
815,a,1144,1,2
816,a,1149,1,1
817,a,1150,1,1
818,a,1154,16,3
819,a,1157,2,1
820,a,1157,11,3
821,a,1159,2,1
822,a,1172,14,4
823,a,1173,12,4
824,a,1184,5,2
825,a,1188,3,1
826,a,1191,3,1
827,a,1192,1,1
828,a,1196,15,1
829,a,1201,2,1
830,a,1206,9,3
831,a,1212,6,2
832,a,1213,6,2
833,a,1215,6,1
834,a,1223,1,1
835,a,1227,8,2
836,a,1229,5,2
837,a,1233,5,2
838,a,1240,2,1
839,a,1243,7,1
840,a,1247,29,7
841,a,1248,23,8
842,a,1248,26,9
843,a,1249,10,2
844,a,1252,1,1
845,a,1255,5,3
846,a,1257,11,1
847,a,1263,6,1
848,a,1269,17,3
849,a,1271,3,2
850,a,1271,10,3
851,a,1271,41,12
852,a,1274,6,2
853,a,1274,62,13
854,a,1281,22,4
855,a,1284,6,3
856,a,1285,3,2
857,a,1286,26,4
858,a,1289,6,2
859,a,1291,2,1
860,a,1291,15,5
861,a,1293,4,2
862,a,1293,13,4
863,a,1293,30,9
864,a,1295,32,7
865,a,1296,2,1
866,a,1296,10,4
867,a,1298,2,1
868,a,1299,15,2
869,a,1301,5,2
870,a,1306,17,3
871,a,1308,13,5
872,a,1311,13,2
873,a,1311,19,4
874,a,1312,16,2
875,a,1313,6,3
876,a,1315,11,3
877,a,1317,0,1
878,a,1317,10,3
879,a,1317,20,6
880,a,1319,14,4
881,a,1322,3,2
882,a,1324,1,1
883,a,1331,23,6
884,a,1334,15,3
885,a,1335,3,1
886,a,1341,7,1
887,a,1341,25,4
888,a,1342,12,3
889,a,1345,3,1
890,a,1347,7,2
891,a,1352,5,2
892,a,1354,6,1
893,a,1355,12,1
894,a,1355,23,6
895,a,1356,14,3
896,a,1358,0,1
897,a,1358,9,5
898,a,1363,3,1
899,a,1363,16,5
900,a,1366,15,3
901,a,1368,1,1
902,a,1369,8,2
903,a,1370,3,1
904,a,1380,5,1
905,a,1384,9,2
906,a,1390,10,3
907,a,1392,7,3
908,a,1395,7,2
909,a,1397,5,3
910,a,1400,12,2
911,a,1400,18,5
912,a,1403,13,2
913,a,1404,4,2
914,a,1406,13,4
915,a,1411,2,1
916,a,1411,8,2
917,a,1412,14,3
918,a,1419,3,2
919,a,1419,6,4
920,a,1419,9,5
921,a,1422,8,4
922,a,1423,11,4
923,a,1429,18,4
924,a,1434,11,3
925,a,1439,9,3
926,a,1440,6,2
927,a,1440,33,10
928,a,1446,18,3
929,a,1447,5,1
930,a,1448,6,3
931,a,1450,5,1
932,a,1450,15,4
933,a,1451,16,4
934,a,1452,9,5
935,a,1453,0,1
936,a,1453,7,3
937,a,1458,3,2
938,a,1463,9,1
939,a,1465,17,4
940,a,1466,22,7
941,a,1467,2,1
942,a,1469,2,2
943,a,1469,6,3
944,a,1470,7,3
945,a,1470,15,6
946,a,1470,23,9
947,a,1472,1,1
948,a,1474,13,4
949,a,1475,13,3
950,a,1475,37,10
951,a,1477,16,5
952,a,1481,6,1
953,a,1482,4,1
954,a,1484,6,2
955,a,1489,29,9
956,a,1490,8,3
957,a,1491,4,2
958,a,1496,17,5
959,a,1497,5,2
960,a,1502,4,1
961,a,1506,25,6
962,a,1506,34,7
963,a,1509,0,1
964,a,1509,10,4
965,a,1509,16,5
966,a,1510,12,4
967,a,1513,29,7
968,a,1514,0,1
969,a,1514,19,7
970,a,1516,16,4
971,a,1518,21,6
972,a,1520,23,5
973,a,1521,3,1
974,a,1522,4,1
975,a,1522,7,2
976,a,1522,12,4
977,a,1524,3,2
978,a,1526,24,4
979,a,1558,32,5
980,a,1562,7,2
981,a,1562,10,3
982,a,1562,22,5
983,a,1562,30,8
984,a,1564,9,3
985,a,1565,5,1
986,a,1566,14,5
987,a,1569,17,1
988,a,1573,3,2
989,a,1573,31,5
990,a,1574,2,1
991,a,1575,3,2
992,a,1576,4,1
993,a,1579,2,2
994,a,1582,34,9
995,a,1584,3,1
996,a,1588,6,1
997,a,1589,4,1
998,a,1589,8,3
999,a,1592,0,1
1000,a,1598,3,1
1001,a,1600,8,1
1002,a,1600,10,2
1003,a,1602,1,1
1004,a,1608,2,1
1005,a,1609,4,1
1006,a,1610,12,3
1007,a,1613,16,5
1008,a,1614,9,2
1009,a,1617,12,4
1010,a,1618,7,2
1011,a,1618,20,6
1012,a,1621,2,2
1013,a,1628,2,1
1014,a,1630,7,4
1015,a,1631,5,2
1016,a,1631,14,5
1017,a,1637,19,5
1018,a,1639,5,3
1019,a,1641,29,9
1020,a,1644,7,3
1021,a,1645,9,2
1022,a,1646,7,1
1023,a,1647,20,4
1024,a,1648,21,3
1025,a,1655,4,1
1026,a,1655,19,4
1027,a,1657,3,1
1028,a,1659,25,5
1029,a,1659,31,8
1030,a,1659,36,9
1031,a,1660,7,3
1032,a,1663,13,3
1033,a,1663,18,4
1034,a,1663,30,6
1035,a,1663,43,10
1036,a,1664,8,3
1037,a,1667,2,1
1038,a,1668,17,3
1039,a,1669,11,4
1040,a,1670,2,3
1041,a,1670,18,6
1042,a,1670,22,7
1043,a,1673,5,2
1044,a,1675,0,1
1045,a,1677,1,2
1046,a,1677,14,6
1047,a,1677,22,10
1048,a,1677,34,15
1049,a,1682,6,1
1050,a,1683,11,3
