mapped_id,word,sentence_id,location_in_sentence,bundle_id
429,can,52,1,0
430,can,83,5,1
431,case,53,2,1
432,case:,20,2,2
433,choosing,13,25,8
434,chosen,6,2,0
435,common,7,3,1
436,compute,51,4,1
437,data,67,5,1
438,decreasing,46,4,0
439,decreasing,123,8,1
440,definition,53,36,5
441,definition,109,3,1
442,describe,48,5,0
443,distance,59,19,1
444,dx,3,11,3
445,dx,52,21,5
446,dx,52,45,7
447,dx,52,69,9
448,dx,53,12,3
449,dx,56,22,2
450,dx,64,9,1
451,dx,81,3,0
452,dx,103,12,2
453,dx,109,15,5
454,dx,125,4,0
455,dx,126,4,0
456,dx,130,4,0
457,dx,132,5,0
458,dx;,62,4,0
459,dx;,63,4,0
460,each,3,30,5
461,each,8,5,2
462,each,10,5,2
463,each,12,4,2
464,each,48,13,3
465,each,51,1,1
466,each,52,9,2
467,easy,44,3,0
468,endpoint,8,3,1
469,endpoint,10,3,1
470,endpoint,21,2,1
471,endpoint,28,2,1
472,endpoint,45,10,2
473,endpoint,45,18,4
474,endpoint,46,8,1
475,endpoint,46,16,3
476,endpoint,52,15,4
477,endpoint,52,39,6
478,endpoints,44,11,3
479,endpoints,44,14,3
480,endpoints,56,28,2
481,endpoints,59,29,3
482,endpoints,62,8,0
483,endpoints,64,15,1
484,endpoints,81,9,0
485,endpoints,103,18,2
486,endpoints:,53,7,2
487,estimate,44,18,5
488,estimate,56,14,0
489,estimate,59,17,0
490,estimate,60,3,0
491,estimate,80,2,0
492,estimate,82,6,0
493,evaluate,99,0,0
494,even),47,4,0
495,even),54,4,0
496,example,14,1,1
497,example,49,1,1
498,exercises,112,3,2
499,exercises:,54,5,0
500,expect,82,3,0
501,explain,65,28,9
502,explain,82,16,3
503,extra,0,9,2
504,f,52,26,5
505,f,52,50,7
506,f,52,74,9
507,f,53,19,3
508,f(1,21,6,1
509,f(1,29,2,0
510,f(1,35,5,1
511,f(1,37,2,0
512,f(1),28,6,1
513,f(2,24,2,0
514,f(2,32,2,0
515,f(2,39,2,0
516,f(2,41,2,0
517,f(2),23,2,0
518,f(2),31,2,0
519,f(3),26,2,0
520,f(x),3,10,3
521,f(x),45,4,1
522,f(x),46,2,0
523,f(x),52,20,5
524,f(x),52,44,7
525,f(x),52,68,9
526,f(x),53,11,3
527,f(x),55,9,4
528,f(x),56,21,2
529,f(x),67,9,3
530,f(x),74,1,0
531,f(x),81,2,0
532,f(x),123,4,0
533,f(x2),3,15,3
534,f(xn),3,22,3
535,figure,55,2,1
536,find,13,2,0
537,first,58,11,6
538,first,65,7,3
539,five,56,24,2
540,five,59,25,3
541,five,81,5,0
542,following,55,1,1
543,following,58,1,1
544,following,67,1,1
545,following,105,8,3
546,for,0,8,2
547,for,13,6,2
548,for,14,0,1
549,for,48,12,3
550,for,49,0,1
551,for,51,0,1
552,for,52,4,1
553,for,58,9,5
554,for,67,6,2
555,form,3,6,2
556,formula,4,5,3
557,formula,48,11,2
558,four,62,5,0
559,from,6,3,1
560,from,44,6,2
561,from,82,7,1
562,function,55,8,4
563,function,67,8,3
564,give,21,5,1
565,give,28,5,1
566,give,35,4,1
567,give,44,15,3
568,given,4,2,1
569,given,60,14,3
570,given,60,18,4
571,given,83,10,2
572,gives,45,12,2
573,gives,45,20,4
574,gives,46,10,1
575,gives,46,18,3
576,giving,48,9,1
577,goes,52,99,14
578,graph,44,8,3
579,graph,55,5,2
580,graph,58,2,1
581,guide,0,3,0
582,has,3,4,1
583,here,3,24,3
584,hm\x90sl,59,15,0
585,hsl,59,13,0
586,idea,2,1,0
587,idea,50,1,1
588,if,14,2,1
589,if,45,3,1
590,if,46,1,0
591,in,0,5,1
592,in,20,0,1
593,in,45,0,1
594,in,60,4,1
595,increasing,45,6,1
596,increasing,121,6,0
597,indicated,60,24,6
598,infinity,52,101,15
599,integral,2,11,4
600,integral,44,24,7
601,integral,52,108,18
602,integral,53,39,7
603,integral,60,15,3
604,integral,64,4,1
605,integral,83,3,1
606,integral,103,6,2
607,integral,105,2,1
608,integral,109,6,3
609,integral,109,10,5
610,integral,111,18,2
611,interval,13,15,6
612,into,13,18,7
613,is,2,5,1
614,is,4,1,1
615,is,4,13,3
616,is,44,1,0
617,is,45,5,1
618,is,46,3,0
619,is,50,2,1
620,is,53,3,1
621,is,53,32,4
622,is,60,1,0
623,is,65,2,0
624,is,65,11,3
625,is,82,10,1
626,is,105,4,1
627,is,121,5,0
628,it,44,0,0
629,k,50,6,2
630,k,51,2,1
631,k,52,33,6
632,k,53,26,3
633,k,129,7,0
634,k(k,128,3,0
635,k2,49,5,1
636,k2,51,5,1
637,k=1,49,4,1
638,k=1,52,25,5
639,k=1,52,49,7
640,k=1,52,73,9
641,k=1,53,18,3
642,k=1,99,3,0
643,k=1,105,13,3
644,k=1,111,7,1
645,k=1,128,2,0
646,k=1,129,2,0
647,k=1,131,4,0
648,large,48,6,0
649,last,65,16,6
650,left,10,2,1
651,left,28,1,1
652,left,44,10,3
653,left,45,9,2
654,left,46,7,1
655,left,52,38,6
656,left,56,27,2
657,lets,48,3,0
658,lim,53,14,3
659,lim,111,3,1
660,lim,131,0,0
661,limit,52,90,11
662,limit,53,35,5
663,limit,109,2,1
664,limit,109,18,6
665,limit,111,2,1
666,ln,111,8,1
667,ln,132,3,0
668,m,114,3,0
669,means,49,6,1
670,midpoint,12,2,1
671,midpoint,35,1,1
672,midpoint,52,63,8
673,midpoints,63,7,0
674,most,7,2,1
675,n,4,10,3
676,n,4,12,3
677,n,14,9,1
678,n,52,23,5
679,n,52,32,6
680,n,52,37,6
681,n,52,47,7
682,n,52,56,8
683,n,52,62,8
684,n,52,71,9
685,n,52,80,10
686,n,52,87,10
687,n,53,16,3
688,n,53,25,3
689,n,53,30,3
690,n,111,5,1
691,n,111,12,1
692,n,111,15,1
693,n,131,2,0
694,n,131,9,0
695,n,131,12,0
696,notation,48,2,0
697,number,4,15,4
698,number,52,96,13
699,number,60,19,4
700,n→∞,53,15,3
701,n→∞,111,4,1
702,n→∞,131,1,0
703,odd,47,2,0
704,odd,54,2,0
705,of,2,8,3
706,of,2,16,7
707,of,3,29,5
708,of,4,16,5
709,of,8,4,2
710,of,10,4,2
711,of,12,3,2
712,of,13,8,3
713,of,13,20,8
714,of,44,21,6
715,of,50,9,3
716,of,52,10,3
717,of,52,91,12
718,of,52,97,14
719,of,52,106,17
720,of,53,37,6
721,of,55,6,3
722,of,56,17,2
723,of,58,6,3
724,of,58,14,7
725,of,60,20,5
726,of,65,5,2
727,of,65,14,5
728,of,109,4,2
729,of,109,19,7
730,on,121,7,1
731,on,123,9,2
732,one,13,7,2
733,or,44,12,3
734,or,44,19,5
735,or,60,9,2
736,or,65,25,8
737,or,82,13,2
738,over,44,17,5
739,overestimate,45,22,5
740,overestimate,46,12,2
741,overestimate,65,24,8
742,overestimate,82,12,2
743,overestimate,114,5,0
744,overestimate,121,2,0
745,overestimate?,60,10,2
746,parentheses,0,6,1
747,part,60,5,1
748,part,82,8,1
749,particular:,45,1,1
750,partitioning,13,13,5
751,practice,0,10,2
752,problems,0,4,0
753,problems:,47,0,0
754,problems:,54,0,0
755,race,58,16,8
756,racecar,58,8,4
757,racecar,59,23,3
758,recangle,8,6,2
759,rectangle,3,31,5
760,rectangle,10,6,2
761,rectangle,12,5,2
762,rectangle?,65,8,3
763,rectangle?,65,17,6
764,rectangles,2,18,7
765,rectangles,4,17,5
766,rectangles,6,5,2
767,rectangles,52,98,14
768,rectangles,56,25,2
769,rectangles,59,26,3
770,rectangles,60,21,5
771,rectangles,64,12,1
772,rectangles,81,6,0
773,rectangles,103,15,2
774,rectangles;,62,6,0
775,rectangles;,63,6,0
776,represents,3,26,3
777,riemann,0,0,0
778,riemann,2,3,1
779,riemann,3,1,1
780,riemann,52,6,2
781,riemann,52,92,12
782,riemann,54,6,0
783,riemann,83,11,2
784,riemann,105,9,3
785,right,8,2,1
786,right,21,1,1
787,right,44,13,3
788,right,45,17,4
789,right,46,15,3
790,right,52,14,4
791,right,53,6,2
792,right,59,28,3
793,right,62,7,0
794,right,64,14,1
795,right,81,8,0
796,right,103,17,2
797,roughly,114,1,0
798,rule,6,9,3
799,rule,21,3,1
800,rule,28,3,1
801,rule,35,2,1
802,rule,45,11,2
803,rule,45,19,4
804,rule,46,9,1
805,rule,46,17,3
806,rule,52,16,4
807,rule,52,40,6
808,rule,52,64,8
809,rule,60,25,6
810,rules,7,4,1
811,rules,13,11,4
812,rules:,52,13,4
813,se,13,10,4
814,seconds,58,13,6
815,shows,55,3,1
816,shows,58,3,1
817,shows,67,3,1
818,simplest,53,1,1
819,sin,103,10,2
820,sin,129,3,0
821,sin2x,63,3,0
822,since,121,3,0
823,since,123,3,0
824,so,15,1,0
825,some,6,8,3
826,some,67,4,1
827,speed,58,5,2
828,speed,59,14,0
829,study,0,2,0
830,subintervals,13,19,7
831,subintervals,15,3,1
832,sum,2,4,1
833,sum,3,2,1
834,sum,52,7,2
835,sum,83,12,2
836,sum,101,2,1
837,sum:,105,10,3
838,summation,48,1,0
839,summation,101,16,2
840,summation,103,2,1
841,summation,109,21,8
842,summations,48,0,0
843,summations,52,3,0
844,summing,2,13,5
845,sums,0,1,0
846,sums,48,7,0
847,sums,52,93,12
848,sums,54,7,0
849,suppose,64,0,0
850,table,67,2,1
851,takes,50,7,2
852,taking,52,88,10
853,tell,44,5,1
854,ten,58,12,6
855,term,48,14,3
856,that,50,3,1
857,that,82,4,0
858,that,83,4,1
859,that,103,3,1
860,that,105,3,1
861,the,2,14,6
862,the,3,5,2
863,the,3,27,4
864,the,4,4,3
865,the,4,14,4
866,the,5,0,1
867,the,6,4,2
868,the,7,0,1
869,the,8,1,1
870,the,10,1,1
871,the,12,1,1
872,the,13,3,1
873,the,13,9,4
874,the,13,14,6
875,the,13,26,9
876,the,15,2,1
877,the,21,0,1
878,the,28,0,1
879,the,35,0,1
880,the,44,7,3
881,the,44,22,7
882,the,45,8,2
883,the,45,16,4
884,the,46,6,1
885,the,46,14,3
886,the,50,0,1
887,the,50,4,2
888,the,50,10,4
889,the,51,9,2
890,the,52,11,4
891,the,52,89,11
892,the,52,95,13
893,the,52,103,16
894,the,52,107,18
895,the,53,0,1
896,the,53,34,5
897,the,53,38,7
898,the,55,0,1
899,the,55,4,2
900,the,56,15,1
901,the,58,0,1
902,the,58,4,2
903,the,58,10,6
904,the,59,18,1
905,the,59,22,3
906,the,60,13,3
907,the,60,17,4
908,the,60,23,6
909,the,64,3,1
910,the,65,3,1
911,the,65,6,3
912,the,65,12,4
913,the,65,15,6
914,the,65,20,7
915,the,67,0,1
916,the,83,9,2
917,the,101,1,1
918,the,103,5,2
919,the,105,7,3
920,the,109,1,1
921,the,109,5,3
922,the,109,9,5
923,the,109,17,6
924,the,111,1,1
925,the,112,2,2
926,then,13,24,8
927,then,14,12,1
928,then,45,7,1
929,then,46,5,0
930,then,51,7,1
931,this,4,0,1
