word,pos
alkalinize,verb
mythologize,verb
allegorize,verb
demythologize,verb
bring,verb
secularize,verb
rubberize,verb
coarsen,verb
anodize,verb
citrate,verb
equilibrate,verb
leave,verb
affect,verb
strike a blow,verb
repercuss,verb
tell on,verb
redound,verb
bacterize,verb
change by reversal,verb
turn the tables,verb
commutate,verb
alchemize,verb
alcoholize,verb
alcoholize,verb
change integrity,verb
switch over,verb
change shape,verb
individuate,verb
granulate,verb
tie,verb
terrace,verb
fork,verb
constellate,verb
shape,verb
tabulate,verb
dimension,verb
roll,verb
draw,verb
strike,verb
crystallize,verb
twist,verb
culminate,verb
granulate,verb
sliver,verb
ridge,verb
plume,verb
conglobate,verb
form,verb
round,verb
scallop,verb
square,verb
round off,verb
prim,verb
purse,verb
pooch,verb
change state,verb
fall,verb
drop,verb
fall off,verb
fall in love,verb
suspend,verb
resuspend,verb
sober up,verb
sober up,verb
sober,verb
become,verb
work,verb
adjust,verb
follow,verb
go by,verb
readjust,verb
proportion,verb
reconstruct,verb
readapt,verb
decrease,verb
shrink,verb
taper,verb
drop off,verb
vanish,verb
increase,verb
suppress,verb
extend,verb
augment,verb
build up,verb
enlarge,verb
up,verb
break,verb
rise,verb
soar,verb
rise,verb
jump,verb
accrue,verb
redound,verb
bull,verb
ease up,verb
ease up,verb
increase,verb
spike,verb
add to,verb
gain,verb
explode,verb
enlarge,verb
augment,verb
pyramid,verb
advance,verb
snowball,verb
raise,verb
bump up,verb
accumulate,verb
backlog,verb
accrete,verb
run up,verb
assimilate,verb
acculturate,verb
detribalize,verb
assimilate,verb
assimilate,verb
dissimilate,verb
dissimilate,verb
dissimilate,verb
change,verb
rectify,verb
utilize,verb
commute,verb
capitalize,verb
overcapitalize,verb
transduce,verb
replace,verb
change,verb
refurbish,verb
gentrify,verb
revamp,verb
retread,verb
renovate,verb
refresh,verb
revitalize,verb
vitalize,verb
vitalize,verb
ruggedize,verb
consolidate,verb
consolidate,verb
consolidate,verb
proof,verb
bombproof,verb
bulletproof,verb
child-proof,verb
goofproof,verb
fireproof,verb
weatherproof,verb
devitalize,verb
eviscerate,verb
shake,verb
regenerate,verb
reincarnate,verb
regenerate,verb
reform,verb
surge,verb
regenerate,verb
regenerate,verb
revive,verb
republish,verb
revive,verb
change,verb
change magnitude,verb
modify,verb
attemper,verb
syncopate,verb
update,verb
update,verb
soup up,verb
modify,verb
cream,verb
modulate,verb
enrich,verb
build up,verb
redevelop,verb
round out,verb
optimize,verb
deprive,verb
fail,verb
disestablish,verb
choke,verb
remove,verb
harvest,verb
tip,verb
stem,verb
extirpate,verb
enucleate,verb
exenterate,verb
enucleate,verb
decorticate,verb
bail,verb
bail,verb
strip,verb
ablate,verb
clean,verb
clean,verb
winnow,verb
pick,verb
clear,verb
muck,verb
lift,verb
lift,verb
lift,verb
tear away,verb
take off,verb
uncloak,verb
take away,verb
pit,verb
seed,verb
unhinge,verb
shuck,verb
hull,verb
crumb,verb
chip away,verb
burl,verb
knock out,verb
bus,verb
scavenge,verb
hypophysectomize,verb
degas,verb
husk,verb
bur,verb
clear off,verb
unclutter,verb
clutter,verb
clog,verb
brim,verb
add,verb
gild the lily,verb
adjoin,verb
work in,verb
add on,verb
include,verb
mix,verb
dash,verb
put on,verb
butylate,verb
put on,verb
iodize,verb
nitrate,verb
tank,verb
oxygenate,verb
mercerize,verb
back,verb
malt,verb
fluoridate,verb
creosote,verb
chlorinate,verb
carbonate,verb
camphorate,verb
bromate,verb
