word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
iknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,5,0,know
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0.0,3,1,you
here,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,4,1,here
yousee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,0,youee
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,5,5,0.0,4,1,that
whatisit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,8,0,whatsit
seehere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,7,1,seehere
sheasked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,8,1,sheasked
andnow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,1,andnow
alas,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.10928,4,1,alas
idontknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,9,1,idontknow
morrow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,1,morrow
vance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,5,0,vane
braith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,0,brait
yellow,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,1,yellow
andthen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,7,1,andthen
smiling,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,7,1,smiling
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,0.0,1,1,a
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,1,1,s
colette,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,7,1,colette
c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,1,1,c
madame,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,1,madame
what,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,5,0.0,4,1,what
inthecourtofthedragon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,21,1,inthecourtofthedragon
boris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,5,0,bris
tonton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.0,6,0,tonto
saidthegirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,11,1,saidthegirl
iinquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,0,inquirer
th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,th
gt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,gt
room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,4,1,room
nonsense,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,8,1,nonsense
andyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,andyou
philip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,philip
idemanded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,0,demanded
ianswered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,0,answerer
helaughed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,1,helaughed
atlast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,0,atlas
selby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,5,0,selly
nothing,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,0.0,7,1,nothing
saidmr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,saidmr
perhaps,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,7,1,perhaps
bladen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,0,laden
thekingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,1,thekingin
allright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,8,0,alright
anyway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,anyway
p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,1,1,p
iv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,1,iv
murmuring,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,1,murmuring
wasshefair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,10,1,wasshefair
shecontinued,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,12,1,shecontinued
too,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,3,1,too
tess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,4,0,ess
susie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,5,0,ousie
said,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,4,1,said
germain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,7,0,germin
thomas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,thomas
dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,dr
byjove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,6,1,byjove
iii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,3,1,iii
isay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,4,0,say
monsieurjack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,12,1,monsieurjack
so,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0.0,2,1,so
g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,1,1,g
hethought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,1,hethought
tiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,5,0,tins
ithought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,8,0,thought
puss,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,4,1,puss
mademoiselle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,12,1,mademoiselle
waiting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,7,1,waiting
shewhispered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,12,1,shewhispered
ifitistrue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,10,1,ifitistrue
morning,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,morning
haveyoufoundtheyellowsign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,25,1,haveyoufoundtheyellowsign
criedthegirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,12,1,criedthegirl
retainer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,retainer
exactly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,exactly
andi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,4,0,and
who,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0.0,3,1,who
thekingiffyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,16,1,thekingiffyellow
together,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,together
ce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,2,1,ce
indeed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,1,indeed
allday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,0,all-day
better,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,1,better
kinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,12,1,kinginyellow
certainly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,9,1,certainly
n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,1,1,n
still,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,still
onferme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,onferme
sill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,4,1,sill
now,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0.0,3,1,now
heanswered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,10,0,unanswered
ido,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,3,1,ido
itisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,0,itis
thekin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,1,thekin
louis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,louis
andmr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,andmr
thefates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,thefates
iunderstand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,11,0,understand
criedwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,9,1,criedwest
calledapril,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,11,1,calledapril
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,1,1,d
demandedelliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,15,1,demandedelliott
jg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,2,0,jg
idont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,0,ident
andianswered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,12,1,andianswered
shelaughed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,10,1,shelaughed
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0.0,3,1,the
ismiled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,0,smiled
heinquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,10,1,heinquired
saidelliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,11,1,saidelliott
quick,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,quick
forward,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,7,1,forward
bytheway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,bytheway
saidlove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,saidlove
ruebarre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,ruebarre
alleyeswereturnedonme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,21,1,alleyeswereturnedonme
presently,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,9,1,presently
hawberk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,hawberk
pardon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,1,pardon
thestreetofourladyofthefields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,29,1,thestreetofourladyofthefields
napoleon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,8,1,napoleon
hastur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,6,1,hastur
andsaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,andsaid
murmuredclifford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,16,1,murmuredclifford
heinsisted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,10,1,heinsisted
veryred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,veryred
buttrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,0,butment
andbeyond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,9,1,andbeyond
