word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
through,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66,65,0.011077272727272732,7,1,through
other,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,65,63,0.07480615384615387,5,1,other
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,65,65,0.04466615384615385,5,1,which
something,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,64,62,0.037676562499999997,9,1,something
turned,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0.049120312500000006,6,1,turned
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,64,60,-0.0185359375,3,1,can
ve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,-0.0026015625,2,0,ve
hand,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0.4280888888888889,4,1,hand
people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,0.11120952380952384,6,1,people
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,62,-0.004330158730158729,2,1,us
never,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,63,63,-0.060146031746031746,5,1,never
long,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,63,63,-0.04438412698412698,4,1,long
made,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0.011611290322580643,4,1,made
too,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,62,0.09037903225806451,3,1,too
where,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,61,61,0.0026639344262295,5,1,where
very,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,61,60,0.04347377049180328,4,1,very
could,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,60,0.040821311475409836,5,1,could
