mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
514,began,115,1,0,85.91999816894531,136.66221618652344,445.2618408203125,146.8188934326172,1
515,behalf,19,0,0,36.0,225.21798706054688,562.5918579101562,240.4339904785156,0
516,believe,437,0,0,86.87999725341797,250.8028717041016,399.2223510742188,260.46502685546875,2
517,besieged,399,0,0,86.87999725341797,178.71676635742188,488.2984619140625,189.11436462402344,2
518,best,259,1,0,85.19999694824219,415.740966796875,452.9247741699219,426.8866882324219,1
519,between,227,0,0,85.44000244140625,355.2609558105469,447.76123046875,366.40667724609375,1
520,beyond,355,0,0,87.36000061035156,81.03678131103516,490.5900268554688,91.43437957763672,2
521,bitter,480,0,0,86.4000015258789,338.0222473144531,296.3370666503906,348.1789245605469,2
522,blame,649,0,0,86.63999938964844,129.3881378173828,488.5618896484375,139.32925415039062,3
523,bodies,744,1,0,85.91999816894531,434.0222473144531,406.4374694824219,444.1789245605469,3
524,book,186,0,0,85.68000030517578,271.542236328125,428.9251708984375,281.69891357421875,1
525,book,716,0,0,85.91999816894531,373.062255859375,449.54248046875,383.2189331054688,3
526,"book,",622,0,0,86.63999938964844,80.26225280761719,327.9603881835937,90.41893768310548,3
527,both,269,0,0,85.44000244140625,428.5567932128906,449.6488342285156,438.9544067382813,1
528,both,527,0,0,86.16000366210938,421.740966796875,422.1950073242188,432.8866882324219,2
529,brief,288,0,0,95.04000091552734,478.2798461914063,446.8286743164063,488.3097229003906,1
530,brings,171,1,0,85.68000030517578,233.96734619140625,453.3867492675781,244.92286682128903,1
531,broad,811,0,0,85.68000030517578,556.716796875,440.1392517089844,567.1143798828125,3
532,"broad,",722,0,0,86.16000366210938,385.062255859375,450.3326721191406,395.2189331054688,3
533,"brothers,",385,1,0,87.12000274658203,142.34815979003906,486.6178894042969,152.28927612304688,2
534,brought,290,0,0,95.04000091552734,478.2798461914063,446.8286743164063,488.3097229003906,1
535,build,35,0,0,36.0,298.416015625,557.0823364257812,309.8280029296875,0
536,bustled,320,1,0,85.19999694824219,538.9585571289062,452.07025146484375,549.9774780273438,1
537,by:,6,0,0,36.0,185.21798706054688,259.2300109863281,200.4339904785156,0
538,by:,17,1,0,36.0,225.21798706054688,562.5918579101562,240.4339904785156,0
539,calculation,454,0,0,86.63999938964844,288.11553955078125,399.214111328125,299.5021667480469,2
540,came,436,0,0,86.87999725341797,250.8028717041016,399.2223510742188,260.46502685546875,2
541,"captivity,",405,0,0,86.87999725341797,191.1422576904297,489.1562194824219,201.29893493652344,2
542,careful,456,0,0,86.63999938964844,288.11553955078125,399.214111328125,299.5021667480469,2
543,centuries—each,764,1,0,85.91999816894531,469.202880859375,398.76458740234375,478.8650512695313,3
544,"century,",224,1,0,85.44000244140625,343.0755310058594,444.4788208007813,354.462158203125,1
545,ceremonies,305,0,0,84.95999908447266,514.435546875,440.4231567382813,525.8221435546875,1
546,certain,424,0,0,86.63999938964844,227.67678833007807,487.294677734375,238.0743865966797,2
547,change,504,1,0,86.63999938964844,374.3168029785156,421.8748779296875,384.7144165039063,2
548,changing,276,0,0,85.44000244140625,453.27679443359375,452.0451965332031,463.6744079589844,1
549,chose,601,1,0,85.91999816894531,569.1968383789062,419.9647216796875,579.5944213867188,2
550,churc,413,0,0,86.87999725341797,215.19680786132807,489.3243103027344,225.5944061279297,2
551,churc,418,0,0,86.63999938964844,227.67678833007807,487.294677734375,238.0743865966797,2
