mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
164,Sums,143,1,0,196.39100646972656,52.42176055908203,413.1199951171875,73.08425903320312,2
165,Taking,123,0,0,68.9580078125,332.1236572265625,558.045166015625,344.078857421875,1
166,The,18,1,0,68.95794677734375,336.0936584472656,369.63128662109375,348.0488586425781,0
167,The,39,0,0,79.75294494628906,532.41064453125,273.5707092285156,544.3658447265625,0
168,The,42,0,0,79.75299072265625,554.4306640625,265.75201416015625,566.3858642578125,0
169,The,45,0,0,79.7530517578125,576.45068359375,246.5759735107422,588.4058837890625,0
170,The,80,0,0,68.95809936523438,149.14259338378906,214.4528961181641,161.09779357910156,1
171,The,128,1,0,68.9580078125,346.5696716308594,401.6832580566406,358.5248718261719,1
172,This,140,0,0,68.9580078125,417.9686584472656,156.87657165527344,429.9238586425781,1
173,Time,164,1,0,89.03699493408203,394.9360046386719,91.55699157714844,402.9360046386719,2
174,Use,24,0,0,79.75294494628906,382.2576599121094,295.735595703125,394.2128601074219,0
175,Use,25,0,0,79.75294494628906,382.2576599121094,295.735595703125,394.2128601074219,0
176,Use,28,1,0,79.75294494628906,404.2776489257813,276.5594787597656,416.23284912109375,0
177,We,83,0,0,68.95809936523438,183.0155792236328,455.4339294433594,194.9707794189453,1
178,What,196,1,0,70.93600463867188,654.0799560546875,224.0731658935547,663.04638671875,2
179,What,199,1,0,70.93600463867188,669.5169677734375,222.5757751464844,678.4833984375,2
180,Will,202,1,0,70.93600463867188,684.9529418945312,260.8175048828125,693.9193725585938,2
181,Would,221,0,0,327.9179382324219,203.7850646972656,543.2191162109375,212.75146484375,2
182,Write,230,1,0,339.2250061035156,238.67398071289065,549.1552124023438,247.640380859375,2
183,X,77,1,0,155.760986328125,112.59059143066406,161.84617614746094,124.54579162597656,1
184,X,93,0,0,270.24609375,233.0870361328125,274.653564453125,241.05712890625,1
185,X,104,0,0,260.98199462890625,273.9340515136719,265.38946533203125,281.9041442871094,1
186,X,114,0,0,235.82598876953125,314.7810974121094,240.23345947265625,322.7511901855469,1
187,X,135,1,0,299.6510009765625,378.6548461914063,316.914306640625,390.6100463867188,1
188,X,284,0,0,267.8389892578125,246.28515625,272.2464599609375,254.2552490234375,3
189,X,286,1,0,362.6360168457031,226.30682373046875,379.8993225097656,238.26202392578125,3
190,X,294,1,0,179.34100341796875,280.1048583984375,196.60430908203125,292.06005859375,3
191,You,33,0,0,68.95794677734375,457.3136901855469,78.71339416503906,469.2688903808594,0
192,Z,11,1,0,177.0970001220703,245.1611328125,181.59213256835935,253.1312255859375,0
193,Z,89,1,0,197.79409790039065,229.778076171875,202.2892303466797,237.7481689453125,1
194,Z,100,1,0,181.88800048828125,249.040771484375,188.53509521484372,260.9959716796875,1
195,Z,111,0,0,163.37400817871094,311.4721069335937,167.869140625,319.44219970703125,1
196,Z,131,1,0,197.59701538085935,373.7398376464844,204.24411010742188,385.6950378417969,1
197,Z,153,0,0,70.93599700927734,299.70294189453125,108.04792785644533,308.6693420410156,2
198,Z,187,1,0,70.93600463867188,554.483642578125,75.42276000976562,562.5533447265625,2
199,Z,189,0,0,75.41100311279297,599.8471069335938,78.89790344238281,606.8209228515625,2
200,Z,190,1,0,217.06300354003903,617.2762451171875,224.53201293945312,626.2426147460938,2
201,Z,218,1,0,378.4779968261719,168.1346893310547,382.9647521972656,176.20437622070312,2
202,Z,247,0,0,512.3091430664062,437.3771057128906,515.7960205078125,444.3508911132813,2
203,Z,256,0,0,431.7571716308594,560.717041015625,435.24407958984375,567.6908569335938,2
204,Z,279,0,0,126.16097259521484,229.0676422119141,136.63372802734375,241.02284240722656,3
205,Z,281,0,0,205.4620056152344,229.0676422119141,215.93475341796875,241.02284240722656,3
206,Z,291,1,0,95.06800079345705,282.86669921875,101.71509552001952,294.8218994140625,3
207,Z,299,1,0,318.0929870605469,282.86669921875,327.8484191894531,294.8218994140625,3
208,\x00,118,1,0,346.4849853515625,304.8011169433594,350.71710205078125,312.7712097167969,1
209,\x01,120,0,0,68.9580078125,332.1236572265625,558.045166015625,344.078857421875,1
210,\x12,94,1,0,304.44110107421875,215.8705596923828,310.5860595703125,227.8257598876953,1
211,\x12,105,1,0,295.177001953125,256.7175598144531,301.32196044921875,268.6727600097656,1
212,\x12,115,1,0,270.0209655761719,297.56463623046875,276.1659240722656,309.51983642578125,1
213,\x12,137,0,0,334.7590026855469,381.4166870117188,341.4060974121094,393.3718872070313,1
214,\x12,265,0,0,468.7619934082031,609.4835815429688,475.36126708984375,618.4500122070312,2
215,\x12,288,0,0,405.0690002441406,229.0676422119141,422.6909790039063,241.02284240722656,3
216,\x12,295,1,0,205.41000366210935,282.8666687011719,226.8769989013672,294.8218688964844,3
217,\x13,98,0,0,380.9800109863281,224.0706329345703,387.9738159179688,236.0258331298828,1
218,\x13,109,0,0,401.2850036621094,264.9176330566406,408.27880859375,276.8728332519531,1
219,\x13,139,0,0,411.8049926757813,389.6176452636719,418.7987976074219,401.5728454589844,1
220,\x13,266,1,0,468.7619934082031,609.4835815429688,475.36126708984375,618.4500122070312,2
221,\x13,290,0,0,451.4259948730469,237.2686309814453,463.1421203613281,249.2238311767578,3
222,\x13,298,0,0,257.135986328125,291.066650390625,264.1297912597656,303.0218505859375,3
223,\x88,59,0,0,94.71119689941406,653.6306762695312,230.4505615234375,665.5858764648438,0
224,\x88,62,1,0,94.71119689941406,690.0966796875,238.5681610107422,702.0518798828125,0
225,a,13,0,0,177.0970001220703,245.1611328125,181.59213256835935,253.1312255859375,0
226,a,73,0,0,68.95800018310547,76.03865051269531,558.0691528320312,87.99385070800781,1
227,a,84,0,0,68.95809936523438,183.0155792236328,455.4339294433594,194.9707794189453,1
228,a,91,0,0,197.79409790039065,229.778076171875,202.2892303466797,237.7481689453125,1
229,a,96,0,0,304.44110107421875,215.8705596923828,310.5860595703125,227.8257598876953,1
230,a,102,0,0,188.52999877929688,270.6251220703125,193.02513122558597,278.59521484375,1
231,a,107,0,0,295.177001953125,256.7175598144531,301.32196044921875,268.6727600097656,1
232,a,112,0,0,163.37400817871094,311.4721069335937,167.869140625,319.44219970703125,1
233,a,117,0,0,270.0209655761719,297.56463623046875,276.1659240722656,309.51983642578125,1
234,a,133,0,0,204.23802185058597,395.32415771484375,208.733154296875,403.2942504882813,1
235,a,157,0,0,70.93599700927734,333.3699645996094,147.86770629882812,342.3363647460937,2
