word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,-0.0069894736842105,6,1,models,0.0025503355704697985,0.6585957192988778,0.13333333333333333
chen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,0.0,4,1,chen,0.0025503355704697985,0.6585957192988778,0.06666666666666667
li,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,-0.0043184210526315,2,1,li,0.0025503355704697985,0.6585957192988778,0.06666666666666667
off,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37,32,-1.621621621621743e-05,3,1,off,0.002483221476510067,0.6574555658168466,0.13333333333333333
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,37,0.0648162162162162,4,1,been,0.002483221476510067,0.6574555658168466,0.13333333333333333
model,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0.1127083333333333,5,1,model,0.0024161073825503354,0.6562743313773061,0.2
research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,0.1653694444444444,8,1,research,0.0024161073825503354,0.6562743313773061,0.13333333333333333
nct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,-0.1617888888888888,3,1,nct,0.0024161073825503354,0.6562743313773061,0.06666666666666667
nat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0.0,3,1,nat,0.002348993288590604,0.6550492863214452,0.06666666666666667
x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,-0.0341714285714285,1,1,x,0.002348993288590604,0.6550492863214452,0.06666666666666667
knockout,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,19,0.0190114285714285,8,1,knockout,0.002348993288590604,0.6550492863214452,0.13333333333333333
speci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.0100205882352941,5,1,speci,0.0022818791946308723,0.6537774330630485,0.0
wang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0.0,4,1,wang,0.0022147651006711407,0.6524554708460382,0.06666666666666667
liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0.0289424242424242,3,1,liu,0.0022147651006711407,0.6524554708460382,0.0
