mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4392999649047852,0.00471762843309529,0.013280344009399415,0.00023101357318018408,5,1,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6743049377075635,0.6609767876179254,0.6553249037030316,0.6026451151566999,0.7339760692402028,0.6654455626850846,0.042050476223432436,14
0.7236598491668701,0.003291792557631192,0.02085428237915039,0.0003055157630295728,5,1,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6773831565954104,0.6584673228546314,0.6576623870414418,0.6047644045790478,0.735583359077335,0.6667721260295733,0.042058279524761516,13
0.1506441593170166,0.0020616058345418018,0.005877351760864258,0.00014029993246144755,5,5,100,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6717520565988838,0.6810301296078102,0.652475420779406,0.5791233789380221,0.7308327806474239,0.6630427533143093,0.04929303274918634,17
0.43403186798095705,0.003012762488244606,0.013273048400878906,0.00017007534819858027,5,5,300,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6486639120665378,0.6578985687300786,0.6522572268633436,0.6016967277393599,0.7303963928152992,0.6581825656429239,0.04130685603711798,18
0.7222444534301757,0.002734737542338727,0.02120509147644043,0.0004920031493316356,5,5,500,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6495539471469449,0.6822848619894571,0.6549598069523926,0.6049113074136244,0.7305432956498757,0.6644506438304589,0.041335742643743754,15
0.14628958702087402,0.0022009069609590626,0.005518436431884766,0.0001174678443393172,5,10,100,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6722773943780509,0.7061458174696686,0.6502848402755724,0.5988472448157341,0.7309796834820004,0.6717069960842053,0.04575382248158733,12
0.4311201572418213,0.0025690708379968803,0.01362614631652832,0.0004149150630284466,5,10,300,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 300}",0.6770184592941705,0.70735713350593,0.6547416130363303,0.6002363407368042,0.7330989729043482,0.6744905038955167,0.04566236519623923,1
0.7141711711883545,0.0029474121053747453,0.020994043350219725,0.0003167553763959691,5,10,500,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 500}",0.6771790997720976,0.7055770633451158,0.6538645167004759,0.6030858236604297,0.7296661993140213,0.6738745405584281,0.04368094033831791,4
0.21365814208984374,0.0028523875864312088,0.007969427108764648,0.0004261087495564763,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.553631877483081,0.46937644776813264,0.5636921003000707,0.5225614669544234,0.5175737916701771,0.5253671368351769,0.03307949111767514,31
0.6369972705841065,0.003418841990850848,0.02087392807006836,0.0006719575732247625,10,1,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.5588982801783677,0.47626228014630634,0.5565327474502636,0.5215374677839923,0.48321995170929366,0.5192901454536447,0.03496661913073188,33
1.0574443817138672,0.010710044117256028,0.03336482048034668,0.0006834335237826971,10,1,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5617724422429018,0.47642292062423347,0.5620848104629385,0.5195650811962211,0.4902324017245241,0.5220155312501638,0.03544296059844307,32
0.20613722801208495,0.0047698224087371855,0.007595968246459961,0.00011685083067081177,10,5,100,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}",0.5731822578102665,0.5333664633445815,0.6486559470804142,0.5509093933561032,0.604197316430866,0.5820622756044462,0.04085417000280017,27
0.6120763778686523,0.004966080325406154,0.01976299285888672,0.0001842089892957721,10,5,300,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.599392037575845,0.5306529417579746,0.6447111739048719,0.5783759027503236,0.6001812521738379,0.5906626616325706,0.03698696573756322,25
