word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
curr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,cur,0.0001746470673846,0.5496051325127768,0.0
ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.0530333333333333,2,0,ca,0.0001746470673846,0.5496051325127768,0.0
jj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.10615,2,0,jj,0.0001746470673846,0.5496051325127768,0.0
nucl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,nuc,0.0001746470673846,0.5496051325127768,0.0
identi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.1209666666666666,6,0,ident,0.0001746470673846,0.5496051325127768,0.0
feng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,eng,0.0001746470673846,0.5496051325127768,0.0
hegemonism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.24192,10,0,hegemonist,0.0001455392228205,0.5343829898349378,0.0
microbiol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,9,0,microbial,0.0001455392228205,0.5343829898349378,0.0
ix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.0218999999999999,2,0,ix,0.0001455392228205,0.5343829898349378,0.0
nx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,-0.67364,2,0,nx,0.0001455392228205,0.5343829898349378,0.0
dystrophin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1183999999999999,10,0,dystrophic,0.0001455392228205,0.5343829898349378,0.0
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.07636,2,0,mr,0.0001455392228205,0.5343829898349378,0.0
cpsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.14734,4,0,cpu,0.0001455392228205,0.5343829898349378,0.0
km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,-0.0423599999999999,2,0,km,0.0001455392228205,0.5343829898349378,0.0
erent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.3923199999999999,5,0,rent,0.0001455392228205,0.5343829898349378,0.0
ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.17984,2,0,ml,0.0001455392228205,0.5343829898349378,0.0
oncol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,5,0,ondol,0.0001164313782564,0.5143212870569726,0.0
pharmacol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,0,pharmacon,0.0001164313782564,0.5143212870569726,0.0
rodr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.3618,4,0,ror,0.0001164313782564,0.5143212870569726,0.0
guez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.3618,4,0,gue,0.0001164313782564,0.5143212870569726,0.0
trans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.07955,5,0,tans,0.0001164313782564,0.5143212870569726,0.0
sq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.1727,2,0,sq,0.0001164313782564,0.5143212870569726,0.0
