word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2084,0,0.37455647792706276
every,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2077,0,0.37458122291766993
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2066,0,0.49505769603097766
please,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2060,0,0.3882928155339806
questions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,0,0.4303985791278789
then,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2037,0,0.17951634756995627
doesn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0.09667805118110244
we,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,0,0.3808051153460376
gives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,0.3571211217786768
too,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1965,0,0.25410310432570027
ever,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1934,0,0.4302889348500501
way,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1906,0,0.42605136411332606
ve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0.4334818086225022
amazing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0.7686182439537339
he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1893,0,0.3212666138404654
helps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,0,0.7466289220917837
everything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0.46837279057311126
useful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0.669685776095187
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1823,0,0.29474152495885914
after,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1818,0,0.0845458745874587
image,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,0,0.2104209801762113
many,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,0.3528172681843421
lot,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1799,0,0.4905684269038344
hai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797,0,0.21174040066777983
voice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0.3027864406779657
far,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1761,0,0.5828617830777952
always,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1725,0,0.29318962318840597
know,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1718,0,0.35616362048894
