word,pos,plural
Babylonia,noun,1
Babylonian,noun,1
Babylonians,noun,1
Bacardi,noun,1
Bacardis,noun,1
Bacchus,noun,1
Baconian,noun,1
Baconianism,noun,1
Bactria,noun,1
Bactrian,noun,1
Badajoz,noun,1
Badalona,noun,1
Baden,noun,1
Baden-Baden,noun,1
Baden-Powell,noun,1
Baedeker,noun,1
Baedekers,noun,1
Baez,noun,1
Baffin,noun,1
Bagdad,noun,1
Bagehot,noun,1
Baghdad,noun,1
Bagheera,noun,1
Bagley,noun,1
Bahai,noun,1
Bahaism,noun,1
Bahamas,noun,1
Bahamian,noun,1
Bahamians,noun,1
Bahia,noun,1
Bahrain,noun,1
Baikal,noun,1
Bairam,noun,1
Baird,noun,1
Bakelite,noun,1
Bakst,noun,1
Baku,noun,1
Bala,noun,1
Balaam,noun,1
Balaamite,noun,1
Balakirev,noun,1
Balaklava,noun,1
Balanchine,noun,1
Balder,noun,1
Baldwin,noun,1
Balfour,noun,1
Bali,noun,1
Balinese,noun,1
Ballarat,noun,1
Ballard,noun,1
Balliol,noun,1
Balt,noun,1
Balthazar,noun,1
Balthazars,noun,1
Baltic,noun,1
Baltimore,noun,1
Baluchi,noun,1
Baluchistan,noun,1
Balzac,noun,1
Bamako,noun,1
Bambi,noun,1
Bananaland,noun,1
Banat,noun,1
Banbury,noun,1
Bandung,noun,1
Banff,noun,1
Bangalore,noun,1
Bangkok,noun,1
Bangladesh,noun,1
Bangor,noun,1
Bangui,noun,1
Banjul,noun,1
Bankhead,noun,1
Bannockburn,noun,1
Banquo,noun,1
Bantu,noun,1
Bantus,noun,1
Bantustan,noun,1
Barabbas,noun,1
Barbadian,noun,1
Barbadians,noun,1
Barbados,noun,1
Barbara,noun,1
Barbarossa,noun,1
Barbary,noun,1
Barbirolli,noun,1
Barbour,noun,1
Barbours,noun,1
Barbuda,noun,1
Barbusse,noun,1
Barcelona,noun,1
Barclay,noun,1
Bardot,noun,1
Barenboim,noun,1
Bari,noun,1
Barnabas,noun,1
Barnaby,noun,1
Barnard,noun,1
Barnardo,noun,1
Barnes,noun,1
Barnet,noun,1
Barnsley,noun,1
Barnum,noun,1
Barotse,noun,1
Barotses,noun,1
Barquisimeto,noun,1
Barra,noun,1
Barranquilla,noun,1
Barrault,noun,1
Barrie,noun,1
Barrow-in-Furness,noun,1
Barry,noun,1
Barrymore,noun,1
Barsac,noun,1
Bart,noun,1
Bartholdi,noun,1
Bartholomew,noun,1
Bartlett,noun,1
Baruch,noun,1
Bas-Rhin,noun,1
Basel,noun,1
Basie,noun,1
Basildon,noun,1
Basilian,noun,1
Basingstoke,noun,1
Baskerville,noun,1
Basle,noun,1
Basotho,noun,1
Basothos,noun,1
Basra,noun,1
Basuto,noun,1
Basutoland,noun,1
Basutos,noun,1
Batavia,noun,1
Bathsheba,noun,1
Bathurst,noun,1
Batista,noun,1
Batley,noun,1
Battenburg,noun,1
Battersea,noun,1
Baudelaire,noun,1
Bauhaus,noun,1
Baum,noun,1
Bavaria,noun,1
Bavarian,noun,1
Bax,noun,1
Bayard,noun,1
Bayern,noun,1
Bayonne,noun,1
Bayreuth,noun,1
Bea,noun,1
Beach-la-Mar,noun,1
Beaconsfield,noun,1
Beale,noun,1
Beardsley,noun,1
Beaton,noun,1
Beatrice,noun,1
Beatrix,noun,1
Beatty,noun,1
Beaufort,noun,1
Beaujolais,noun,1
Beaulieu,noun,1
Beaumarchais,noun,1
Beaumont,noun,1
Beaune,noun,1
Beauvais,noun,1
Beauvoir,noun,1
Beaverbrook,noun,1
Bebington,noun,1
Bechuana,noun,1
Bechuanaland,noun,1
Becker,noun,1
Beckett,noun,1
Beckford,noun,1
Beckmann,noun,1
Becky,noun,1
Bedford,noun,1
Bedfordshire,noun,1
Bedivere,noun,1
Bedlington,noun,1
Bedlingtons,noun,1
Beeb,noun,1
Beecham,noun,1
Beecher,noun,1
Beelzebub,noun,1
Beerbohm,noun,1
Beersheba,noun,1
Beethoven,noun,1
Behan,noun,1
Behn,noun,1
Behrens,noun,1
Behring,noun,1
Beiderbecke,noun,1
Beirut,noun,1
Belfast,noun,1
Belgian,noun,1
Belgians,noun,1
Belgium,noun,1
Belgrade,noun,1
Belgravia,noun,1
Belgravian,noun,1
Belial,noun,1
Belinda,noun,1
Belisarius,noun,1
Belize,noun,1
Bella,noun,1
Bellamy,noun,1
Bellatrix,noun,1
Bellerophon,noun,1
Bellini,noun,1
Belloc,noun,1
Bellona,noun,1
Belorussia,noun,1
Belorussian,noun,1
Beltane,noun,1
Ben-Gurion,noun,1
Benares,noun,1
Bendigo,noun,1
Benedick,noun,1
Benedict,noun,1
Benedictine,noun,1
Benedictines,noun,1
Benedictus,noun,1
Benelux,noun,1
Benfleet,noun,1
Bengal,noun,1
Bengalese,noun,1
Bengali,noun,1
Bengalis,noun,1
Bengals,noun,1
Benghazi,noun,1
Benin,noun,1
Benjy,noun,1
Benn,noun,1
Bennett,noun,1
Benny,noun,1
Benson,noun,1
Bentham,noun,1
Benthamite,noun,1
Bentinck,noun,1
Bentley,noun,1
Benzedrine,noun,1
Beograd,noun,1
Beowulf,noun,1
Berber,noun,1
Berbers,noun,1
Berchtesgaden,noun,1
Berean,noun,1
Berenice,noun,1
Bergamo,noun,1
Bergen,noun,1
Bergerac,noun,1
Bergman,noun,1
Bergson,noun,1
Bergsonian,noun,1
Bergsonism,noun,1
Beria,noun,1
Bering,noun,1
Berio,noun,1
