" To make this comparison, ﬁve real- world binary data sets from UCI and LIBSVM which have diﬀerent overlap- ping ratios calculated by SVDD are se- lected",26,152,0.0,0,ClassOverlapping,,-1
 Table 1 summarizes the data sets,6,32,0.0,0,ClassOverlapping,,-1
" For each data set, it shows the number of examples (#E), number of attributes (#A) and the ratio of over- lapping(ratio)",21,120,0.1531,0,ClassOverlapping,,-1
 Experiments are di- Data Set  Source  #E  #A  ratio Inosphere  UCI  351  34  41,22,79,0.0,0,ClassOverlapping,,-1
3% Sonar  UCI  208  60  20,9,25,0.0,0,ClassOverlapping,,-1
2% Splice  LIBSVM  1000  60  12,9,30,0.0,0,ClassOverlapping,,-1
6% Diabetes  UCI  768  8  7,9,26,0.0,0,ClassOverlapping,,-1
9% German  LIBSVM  1000  24  5,9,29,0.0,0,ClassOverlapping,,-1
7% Table 1: Characteristics of Data Sets,6,39,0.0,0,ClassOverlapping,,-1
 vided into three scenarios,4,26,0.0,0,ClassOverlapping,,-1
 The ﬁrst one uses three diﬀerent schemes and ﬁve distinct classiﬁers to deal with class overlapping problem for data sets with diﬀerent overlapping ratios,24,154,-0.4019,0,ClassOverlapping,,-1
 The sec- ond one compares the original scheme with the best scheme in ﬁrst experi- ment and ﬁnds what may aﬀect classiﬁ- cation performance,24,139,0.7579,0,ClassOverlapping,,-1
 The third one con- centrates on imbalance data sets gener- ated by random sampling to ﬁnd com- binative eﬀect,19,109,0.0,0,ClassOverlapping,,-1
 The experiments adopt a ten-fold cross-validation method,7,56,0.1779,0,ClassOverlapping,,-1
" F-measure metric of the both classes is used to compare the performance of ﬁve clas- siﬁcation algorithms with distinct na- tures: NB, k-NN (k=5), SVMs (with linear kernel), C4",29,176,0.0,0,ClassOverlapping,,-1
5 and RIPPER,2,11,0.0,0,ClassOverlapping,,-1
 493 The 2010 International Conference on E-Business Intelligence ,9,65,0.4767,0,ClassOverlapping,,-1
3,0,0,0.0,0,ClassOverlapping,,-1
1,0,0,0.0,0,ClassOverlapping,,-1
 Experiment 1 The ﬁrst experiment is over a collection of above ﬁve binary data sets with de- creasing class overlapping ratios,21,126,0.0,0,ClassOverlapping,,-1
" For each data set, the overlapping regions are gained by SVDD",11,61,0.3818,0,ClassOverlapping,,-1
 So each data set can be divided into two parts: non- overlapping and overlapping,14,80,0.0,0,ClassOverlapping,,-1
" After that, three overlapping-class modeling schemes described in previous section and ﬁve distinct classiﬁers will be used",17,123,0.0,0,ClassOverlapping,,-1
 F-measure of both classes will be cal- culated for comparison,10,61,0.0,0,ClassOverlapping,,-1
 Table 2 shows the performances of the three schemes and ﬁve classiﬁers on ﬁve binary data sets,17,94,0.0,0,ClassOverlapping,,-1
 The values after the name of data set are the over- lapping ratio of each data set and the r e s u l t si nb o l di n d i c a t et h eb e s tv a l - ues,46,152,0.8934,0,ClassOverlapping,,-1
" As can be seen, F-measures of the separating scheme for the both classes in binary data sets are always higher than the merging scheme",24,134,0.0,0,ClassOverlapping,,-1
" This is be- cause the merging scheme introduces additional class to the data set, which makes the classiﬁcation become more complicated",21,135,0.0,0,ClassOverlapping,,-1
" Another observation is that for two data sets, Inosphere and Sonar with overlapping ratio more than 20%, the separating scheme performs almost better than the discarding scheme",27,176,0.228,0,ClassOverlapping,,-1
" While for the remaining three data sets with overlapping ratio less than 20%, performance of the separating scheme is close to the discarding scheme",24,148,-0.1779,0,ClassOverlapping,,-1
" As the increase of the value of overlap- ping ratio, the separating scheme per- forms much better than the discard- ing scheme and the performance gap is broad",28,159,0.6808,0,ClassOverlapping,,-1
 This is because ignoring this data may lose some important informa- tion of each two classes,16,92,-0.5574,0,ClassOverlapping,,-1
" If the over- lapping ratio is high, more informa- tion will be discarded to bring lower F-measure",17,97,-0.5574,0,ClassOverlapping,,-1
 These observations support that the separating scheme which learns on overlapping and non-overlapping data separately is the best among the three schemes,22,153,0.7845,0,ClassOverlapping,,-1
 The data sets used in the sep- arating scheme are divided into small part which will be good for precisely learning and time costing,24,132,0.4404,0,ClassOverlapping,,-1
 3,1,1,0.0,0,ClassOverlapping,,-1
2,0,0,0.0,0,ClassOverlapping,,-1
 Experiment 2 The separating scheme that deals with class overlapping problem performs best is also compared to the scheme without dealing with class overlapping problem called the original scheme (o) here,31,204,0.2732,0,ClassOverlapping,,-1
 The second experiment is de- signed to ﬁnd out what may aﬀect the performance of overlapping-class mod- eling schemes,19,117,0.0,0,ClassOverlapping,,-1
 Data sets and classiﬁers used in this experiment are the same as those in pervious experiment,16,93,0.0,0,ClassOverlapping,,-1
 Fig,1,3,0.0,0,ClassOverlapping,,-1
" 2, in which F1 and F2 means F-measure for class 1 and class 2, shows the comparing results of the sep- arating and original schemes",25,131,0.3182,0,ClassOverlapping,,-1
 Data sets from left to right are sorted by the overlapping ratio in ascending or- der,16,85,0.0,0,ClassOverlapping,,-1
" One observation is that, for all data sets and classiﬁers, the separat- ing scheme performs better than the original scheme or has almost the same results as the original scheme",30,177,0.7579,0,ClassOverlapping,,-1
" An- other observation is that as the overlap- ping ratio increases, the gap between the separating and original schemes is more and more obvious except for those high F-measure values",30,183,0.6124,0,ClassOverlapping,,-1
 This is reasonable for that high F-measure can diﬃcultly be improved,11,68,0.4767,0,ClassOverlapping,,-1
" And be- cause low overlapping ratio means that there are little data lying on overlap- ping region, overlapping-class model- ing schemes can hardly improve the overall performance",27,179,-0.3848,0,ClassOverlapping,,-1
" In addition, we also investigate how the classiﬁers aﬀect the performance",11,73,0.0,0,ClassOverlapping,,-1
 494 The 2010 International Conference on E-Business Intelligence ,9,65,0.4767,0,ClassOverlapping,,-1
Data sets  F-measure(class 1)  F-measure(class 2) d  m  s  d  m  s Inosphere C4,20,78,0.0,0,ClassOverlapping,,-1
5  0,2,3,0.0,0,ClassOverlapping,,-1
766  0,2,5,0.0,0,ClassOverlapping,,-1
809  0,2,5,0.0,0,ClassOverlapping,,-1
863  0,2,5,0.0,0,ClassOverlapping,,-1
788  0,2,5,0.0,0,ClassOverlapping,,-1
902  0,2,5,0.0,0,ClassOverlapping,,-1
925 NB  0,3,8,0.0,0,ClassOverlapping,,-1
607  0,2,5,0.0,0,ClassOverlapping,,-1
849  0,2,5,0.0,0,ClassOverlapping,,-1
861  0,2,5,0.0,0,ClassOverlapping,,-1
407  0,2,5,0.0,0,ClassOverlapping,,-1
909  0,2,5,0.0,0,ClassOverlapping,,-1
914 k-NN  0,3,10,0.0,0,ClassOverlapping,,-1
722  0,2,5,0.0,0,ClassOverlapping,,-1
668  0,2,5,0.0,0,ClassOverlapping,,-1
805  0,2,5,0.0,0,ClassOverlapping,,-1
797  0,2,5,0.0,0,ClassOverlapping,,-1
873  0,2,5,0.0,0,ClassOverlapping,,-1
